station;year;parameter;25% quantile;median;75% quantile;std_dev;rel_std_dev;outliers;values;Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8;Spalte9;Spalte10;Spalte11;Spalte12;Spalte13;Spalte14;Spalte15;Spalte16;Spalte17;Spalte18;Spalte19;Spalte20;Spalte21;Spalte22;Spalte23;Spalte24;Spalte25;Spalte26;Spalte27;Spalte28;Spalte29;Spalte30;Spalte31;Spalte32;Spalte33;Spalte34;Spalte35;Spalte36;Spalte37;Spalte38;Spalte39;Spalte40;Spalte41;Spalte42;Spalte43;Spalte44;Spalte45;Spalte46;Spalte47;Spalte48;Spalte49;Spalte50;Spalte51;Spalte52;Spalte53;Spalte54;Spalte55;Spalte56;Spalte57;Spalte58;Spalte59;Spalte60;Spalte61;Spalte62;Spalte63;Spalte64;Spalte65;Spalte66;Spalte67;Spalte68;Spalte69;Spalte70;Spalte71;Spalte72;Spalte73;Spalte74;Spalte75;Spalte76;Spalte77
Porte du Scex;2021;Chloridazon;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2018;Chlorpyrifos;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2019;Chlorpyrifos;0;0;0;0.041923077;500;[0.218];0;0;0;0;0;0.218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2018;Chlorpyrifos-methyl;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2019;Chlorpyrifos-methyl;0;0.013;0.019;0.009518901;87.14486408;[];0.0195;0.019;0;0.0175;0.022;0.024;0.011;0;0.019;0;0.015;0.014;0;0;0.012;0;0.016;0.027;0;0;0.028;0.0135;0;0.0125;0;0.014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2020;Chlorpyrifos-methyl;0;0;0.001;0.001138944;187.3746546;[];0;0;0;0;0;0.002;0.004;0.003;0.001;0.001;0.001;0.001;0;0.004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003;0.002;0.001;0.001;0;0.002;0.001;0;0;0;0;0;0;0;0;0;0;0;0.004;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2021;Chlorpyrifos-methyl;0;0;0;0.002886936;343.6828681;[0.01, 0.012, 0.012];0;0;0;0;0;0.008;0;0;0;0.01;0;0;0;0;0;0.012;0;0;0.012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2022;Chlorpyrifos-methyl;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2018;Chlortoluron;0;0.0175;0.0225;0.020727823;117.9454648;[0.08, 0.0815];0.021;0.0175;0.02;0;0;0.02;0.0295;0.08;0.0815;0.015;0;0.018;0;0;0.013;0.014;0;0;0;0;0;0.024;0.022;0.0225;0.0295;0.027;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2019;Clarithromycin;0;0.003;0.004;0.001852674;81.97671432;[];0.007;0.005;0.004;0.003;0.004;0.004;0.005;0.004;0;0.003;0.004;0.004;0.003;0.003;0.004;0.004;0.004;0.004;0.003;0.002;0;0;0;0;0;0;0;0;0;0;0;0;0.002;0;0.002;0.003;0.003;0.002;0.004;0.003;0.002;0;0.002;0.002;0.003;0;0.003;0;0.003;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2020;Clarithromycin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2021;Clarithromycin;0;0;0;0.0005;500;[0.002, 0.003];0;0;0;0;0;0.002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2022;Clarithromycin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2018;Cyproconazol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2021;Cyproconazol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2020;Cyprodinil;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2019;DEET;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Porte du Scex;2021;DEET;0;0;0.001;0.000988737;145.4024364;[0.005];0.005;0;0.002;0;0;0;0;0;0.002;0;0;0.001;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0.003;0.002;0.002;0.001;0.002;0.001;0.002;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2022;DEET;0;0;0;0.000226436;871.7797887;[0.002];0;0.002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
