station;year;parameter;min;25% quantile;median;75% quantile;max;std_dev;rel_std_dev;outliers;values;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;2-Hydroxy-propazin_und_2-Hydroxy-terbuthylazin;0.002;0.0025;0.003;0.003;0.004;0.000627375;21.48546184;[];0.003;0.003;0.004;0.004;0.004;0.004;0.003;0.003;0.003;0.003;0.003;0.003;0.002;0.003;0.002;0.002;0.002;0.002;0.002;0.003;0.003;0.003;0.003;0.003;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;2-Hydroxy-propazin_und_2-Hydroxy-terbuthylazin;0.002;0.003;0.003;0.004;0.008;0.00118234;34.54028348;[0.008];0.003;0.003;0.003;0.003;0.003;0.003;0.004;0.003;0.003;0.003;0.003;0.003;0.002;0.008;0.003;0.002;0.003;0.004;0.004;0.003;0.003;0.006;0.004;0.004;0.003;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;2-Hydroxy-propazin_und_2-Hydroxy-terbuthylazin;0.002;0.002;0.003;0.003;0.005;0.000734807;26.17119613;[];0.003;0.003;0.004;0.003;0.002;0.003;0.005;0.003;0.002;0.002;0.003;0.003;0.003;0.004;0.002;0.003;0.002;0.002;0.002;0.002;0.002;0.003;0.003;0.003;0.003;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;2-Hydroxy-simazin;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;2-Hydroxy-simazin;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;2-Hydroxy-simazin;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;2-Naphthalinsulfonsaeure;0;0;0.013;0.0175;0.084;0.017951045;112.1940284;[0.084];0;0.013;0.016;0;0.02;0.017;0.015;0.011;0;0.084;0.012;0.037;0.018;0;0;0;0.043;0.011;0.013;0.014;0;0.016;0.01;0.034;0.016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;2-Naphthalinsulfonsaeure;0;0.013;0.015;0.02225;0.06;0.01150643;65.46327732;[0.06];0;0.015;0.024;0.015;0.013;0.019;0.03;0.013;0.014;0.024;0;0.023;0.06;0.021;0.013;0;0.01;0.014;0.022;0.016;0.018;0.032;0.015;0.015;0.012;0.019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;2-Naphthalinsulfonsaeure;0;0;0;0.0205;0.12;0.02546819;222.9538512;[0.12];0;0;0.02;0.05;0;0.033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.022;0.12;0;0;0.022;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;2-Phenyl-2-_2-piperidinyl_acetamid;0;0;0;0;0.023;0.005744176;347.3222919;[0.023, 0.02];0;0;0;0;0;0;0;0;0.023;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
